,call_type,location
272,Medical Incident,"(37.76967963861854, -122.44994204079539)"
273,Medical Incident,"(37.79073739424644, -122.41987274042768)"
274,Medical Incident,"(37.78111921215415, -122.41259697063744)"
275,Traffic Collision,"(37.74252073413775, -122.40430629342882)"
276,Medical Incident,"(37.780662104249124, -122.42289792441836)"
277,Alarms,"(37.756890170572206, -122.42222930549926)"
278,Medical Incident,"(37.733714034078574, -122.38058854687661)"
279,Medical Incident,"(37.76213762660447, -122.4362418055204)"
280,Medical Incident,"(37.78373004094003, -122.41375367048737)"
281,Alarms,"(37.725693357570286, -122.45228966049211)"
282,Medical Incident,"(37.7712162010371, -122.43788828303646)"
283,Medical Incident,"(37.80646891047777, -122.41922450250016)"
284,Medical Incident,"(37.71246920348385, -122.41479034443286)"
285,Medical Incident,"(37.781585403105, -122.42309018884136)"
286,Alarms,"(37.77991166933496, -122.40747443962437)"
287,Medical Incident,"(37.78191397441793, -122.41303219395635)"
288,Medical Incident,"(37.78186544733037, -122.41428534642068)"
289,Structure Fire,"(37.798602782885936, -122.4231486020576)"
290,Medical Incident,"(37.772626721671855, -122.41998727500007)"
291,Medical Incident,"(37.78796309075427, -122.40349177638547)"
292,Structure Fire,"(37.78521736163072, -122.41706961139498)"
293,Structure Fire,"(37.79049502280937, -122.40235333697387)"
294,Medical Incident,"(37.729301772384105, -122.39087677658321)"
295,Outside Fire,"(37.761643047567155, -122.41205030895874)"
296,Medical Incident,"(37.73216722406419, -122.42128376090659)"
297,Medical Incident,"(37.78729821394368, -122.39448127463699)"
298,Structure Fire,"(37.71645954729607, -122.44101956015619)"
299,Medical Incident,"(37.78566436323491, -122.45975441838847)"
300,Traffic Collision,"(37.77085212612299, -122.41367918089836)"
301,Alarms,"(37.791293251400866, -122.39861461041114)"
302,Medical Incident,"(37.78530743521714, -122.47424509706346)"
303,Medical Incident,"(37.77762423892872, -122.39998111124002)"
304,Medical Incident,"(37.76403273527493, -122.50940219159153)"
305,Medical Incident,"(37.779666042606245, -122.41371122073035)"
306,Medical Incident,"(37.75683373475194, -122.40669900160373)"
307,Medical Incident,"(37.73117466197678, -122.3816081442018)"
308,Medical Incident,"(37.78699019748619, -122.41068391010717)"
309,Alarms,"(37.76990741864823, -122.42911088551323)"
310,Medical Incident,"(37.7804785121736, -122.41251225721864)"
311,Medical Incident,"(37.757307610017534, -122.40661980269415)"
312,Medical Incident,"(37.78383851800258, -122.41377551205974)"
313,Structure Fire,"(37.78521736163072, -122.41706961139498)"
314,Medical Incident,"(37.78578700513545, -122.41254776255968)"
315,Medical Incident,"(37.73111444042798, -122.38010486093252)"
316,Medical Incident,"(37.78153743312166, -122.4095183414163)"
317,Medical Incident,"(37.770978935735286, -122.40281601106251)"
318,Medical Incident,"(37.79852189937247, -122.41638415914585)"
319,Structure Fire,"(37.75599844200711, -122.4094330697738)"
320,Medical Incident,"(37.78401768430941, -122.43123806528634)"
321,Medical Incident,"(37.749533534032615, -122.47714935191954)"
322,Medical Incident,"(37.78186544733037, -122.41428534642068)"
323,Medical Incident,"(37.77314480117134, -122.391472934142)"
324,Medical Incident,"(37.75223945497915, -122.41844527285122)"
325,Medical Incident,"(37.74817254773626, -122.45869503396155)"
326,Medical Incident,"(37.772626721671855, -122.41998727500007)"
327,Medical Incident,"(37.78258503328092, -122.41569387210927)"
328,Medical Incident,"(37.78401768430941, -122.43123806528634)"
329,Medical Incident,"(37.73654493835031, -122.4223235834008)"
330,Structure Fire,"(37.77428383647135, -122.4670880867804)"
331,Medical Incident,"(37.778241090674626, -122.41118480992213)"
332,Medical Incident,"(37.73672967956207, -122.42485038837573)"
333,Structure Fire,"(37.75599844200711, -122.4094330697738)"
334,Medical Incident,"(37.79323049130964, -122.39318133501426)"
335,Medical Incident,"(37.769247063207025, -122.42695563170949)"
336,Medical Incident,"(37.80193063571617, -122.41254127934698)"
337,Medical Incident,"(37.797515004161106, -122.44715829483482)"
338,Traffic Collision,"(37.756171321346955, -122.41986553702134)"
339,Alarms,"(37.750164838307285, -122.41283185546867)"
340,Medical Incident,"(37.78566436323491, -122.45975441838847)"
341,Gas Leak (Natural and LP Gases),"(37.75754535553596, -122.4730003389014)"
342,Medical Incident,"(37.764236118944744, -122.41965984240802)"
343,Medical Incident,"(37.735201738448616, -122.43419830239017)"
344,Medical Incident,"(37.786117211837905, -122.4198542456919)"
345,Medical Incident,"(37.79196280536014, -122.39324301440674)"
346,Medical Incident,"(37.78354278205707, -122.49251018558923)"
347,Medical Incident,"(37.78144749400219, -122.41714561341122)"
348,Traffic Collision,"(37.74801345071212, -122.42248736496548)"
349,Medical Incident,"(37.764195714115694, -122.4330744711165)"
350,Structure Fire,"(37.77025923403998, -122.43183229992738)"
351,Structure Fire,"(37.798602782885936, -122.4231486020576)"
352,Medical Incident,"(37.79053180581528, -122.40391422083457)"
353,Medical Incident,"(37.72094516162954, -122.47827820633243)"
354,Medical Incident,"(37.79020395741885, -122.4163928893043)"
355,Medical Incident,"(37.781605127270446, -122.41633625179564)"
356,Medical Incident,"(37.77883231587925, -122.41564248785478)"
357,Medical Incident,"(37.76491737902564, -122.42188644723224)"
358,Medical Incident,"(37.75257275808977, -122.41299517483971)"
359,Medical Incident,"(37.79282365093117, -122.39703419008931)"
360,Alarms,"(37.770103826785316, -122.39104339613694)"
361,Medical Incident,"(37.78594197069232, -122.40801273025853)"
362,Medical Incident,"(37.77604634712713, -122.41128875661012)"
363,Medical Incident,"(37.7833263288474, -122.44032487615966)"
364,Structure Fire,"(37.77025923403998, -122.43183229992738)"
365,Alarms,"(37.78316766387155, -122.39782549526826)"
366,Traffic Collision,"(37.76924401107554, -122.40800720584919)"
367,Medical Incident,"(37.751171434555964, -122.3973797703446)"
368,Medical Incident,"(37.71901186767855, -122.48045074945877)"
369,Medical Incident,"(37.7807191768764, -122.41531561647088)"
370,Medical Incident,"(37.78003795236265, -122.48580757482127)"
371,Medical Incident,"(37.75196034037107, -122.43637687090138)"
372,Medical Incident,"(37.78610103882032, -122.41808809882461)"
373,Medical Incident,"(37.78780723469527, -122.41927961906036)"
374,Structure Fire,"(37.77025923403998, -122.43183229992738)"
375,Medical Incident,"(37.78086621047984, -122.42880323800273)"
376,Medical Incident,"(37.76033175857475, -122.50921208144857)"
377,Alarms,"(37.787764099009586, -122.40992532841902)"
378,Medical Incident,"(37.761736728493254, -122.49734953742907)"
379,Alarms,"(37.78729529285916, -122.41580612874544)"
380,Structure Fire,"(37.786409613771546, -122.4080362362708)"
381,Smoke Investigation (Outside),"(37.734380475446706, -122.43879741915985)"
382,Structure Fire,"(37.786409613771546, -122.4080362362708)"
383,Medical Incident,"(37.78241705360878, -122.42081045856506)"
384,Medical Incident,"(37.7817609081004, -122.41510513501424)"
385,Traffic Collision,"(37.764951660709535, -122.431937558766)"
386,Medical Incident,"(37.78578700513545, -122.41254776255968)"
387,Medical Incident,"(37.737821813482434, -122.43239831371135)"
388,Medical Incident,"(37.72848944263902, -122.42999537572818)"
389,Structure Fire,"(37.79049502280937, -122.40235333697387)"
390,Medical Incident,"(37.764373209666395, -122.41747849146803)"
391,Medical Incident,"(37.75148331408049, -122.45644843222269)"
392,Medical Incident,"(37.79724775028354, -122.43467923975814)"
393,Medical Incident,"(37.76967963861854, -122.44994204079539)"
394,Medical Incident,"(37.77319006012842, -122.41823697502534)"
395,Structure Fire,"(37.786409613771546, -122.4080362362708)"
396,Medical Incident,"(37.77527142976678, -122.46601871222124)"
397,Medical Incident,"(37.79777922753287, -122.4078279842584)"
398,Alarms,"(37.78419090478878, -122.4101194834515)"
399,Medical Incident,"(37.78191397441793, -122.41303219395635)"
400,Medical Incident,"(37.78128768709087, -122.41131805537074)"
401,Vehicle Fire,"(37.75124396447094, -122.42158533430495)"
402,Medical Incident,"(37.781506366642944, -122.4079328682033)"
403,Alarms,"(37.78870661233235, -122.39901020756801)"
404,Medical Incident,"(37.774094856688166, -122.42000143696421)"
405,Medical Incident,"(37.77305345322805, -122.41861821745897)"
406,Medical Incident,"(37.78764184760673, -122.40343080341468)"
407,Structure Fire,"(37.75599844200711, -122.4094330697738)"
408,Alarms,"(37.78818604069484, -122.40591821618692)"
409,Gas Leak (Natural and LP Gases),"(37.72465237940485, -122.40228864968611)"
410,Medical Incident,"(37.720251673301156, -122.41147550203111)"
411,Medical Incident,"(37.77953108466273, -122.41354254868111)"
412,Traffic Collision,"(37.75414576856218, -122.47861569326989)"
413,Gas Leak (Natural and LP Gases),"(37.776849572629885, -122.42135124613577)"
414,Alarms,"(37.77299246956491, -122.4761579072071)"
415,Medical Incident,"(37.73216722406419, -122.42128376090659)"
416,Medical Incident,"(37.78186544733037, -122.41428534642068)"
417,Medical Incident,"(37.78626844171618, -122.41299723589641)"
418,Medical Incident,"(37.80627492959054, -122.42300924461179)"
419,Medical Incident,"(37.790968608904045, -122.40238040312333)"
420,Other,"(37.736059945145264, -122.49233186505283)"
421,Structure Fire,"(37.78521736163072, -122.41706961139498)"
422,Medical Incident,"(37.77659524403677, -122.47803327667462)"
423,Medical Incident,"(37.80193063571617, -122.41254127934698)"
424,Medical Incident,"(37.793188932933425, -122.40055351578032)"
425,Medical Incident,"(37.72848944263902, -122.42999537572818)"
426,Structure Fire,"(37.79049502280937, -122.40235333697387)"
427,Medical Incident,"(37.77732160066612, -122.44911600290472)"
428,Medical Incident,"(37.78186544733037, -122.41428534642068)"
429,Medical Incident,"(37.78437056730531, -122.43884120078447)"
430,Medical Incident,"(37.783310406701474, -122.3883798739193)"
431,Medical Incident,"(37.78708178866631, -122.4258678201407)"
432,Gas Leak (Natural and LP Gases),"(37.75754535553596, -122.4730003389014)"
433,Structure Fire,"(37.79049502280937, -122.40235333697387)"
434,Structure Fire,"(37.77428383647135, -122.4670880867804)"
435,Citizen Assist / Service Call,"(37.781199993952754, -122.43036488822585)"
436,Medical Incident,"(37.786117211837905, -122.4198542456919)"
437,Other,"(37.72229807127346, -122.41130309997389)"
438,Medical Incident,"(37.73234095643722, -122.40611619828444)"
439,Alarms,"(37.750164838307285, -122.41283185546867)"
440,Alarms,"(37.750164838307285, -122.41283185546867)"
441,Alarms,"(37.784205674933816, -122.40761273180911)"
442,Alarms,"(37.78870661233235, -122.39901020756801)"
443,Traffic Collision,"(37.791842089432954, -122.3949402384805)"
444,Medical Incident,"(37.729301772384105, -122.39087677658321)"
445,Alarms,"(37.78845684141381, -122.40183733610037)"
446,Medical Incident,"(37.7891101748937, -122.41701687922567)"
447,Structure Fire,"(37.79049502280937, -122.40235333697387)"
448,Medical Incident,"(37.77829356256872, -122.50294568895937)"
449,Medical Incident,"(37.720251673301156, -122.41147550203111)"
450,Medical Incident,"(37.765051338194475, -122.41966897386114)"
451,Traffic Collision,"(37.7324386586756, -122.4056075491991)"
452,Medical Incident,"(37.767002028647774, -122.42215811039273)"
453,Medical Incident,"(37.781506366642944, -122.4079328682033)"
454,Medical Incident,"(37.779861284945476, -122.3895906969512)"
455,Medical Incident,"(37.79920486146206, -122.44013246476491)"
456,Structure Fire,"(37.78521736163072, -122.41706961139498)"
457,Traffic Collision,"(37.78239164120352, -122.44730151186332)"
458,Alarms,"(37.79051268100835, -122.40221671044493)"
459,Medical Incident,"(37.71246449527193, -122.46302909338672)"
460,Alarms,"(37.78729529285916, -122.41580612874544)"
461,Medical Incident,"(37.78008594387021, -122.39750173417865)"
462,Medical Incident,"(37.781605127270446, -122.41633625179564)"
463,Structure Fire,"(37.78878689489832, -122.42705967326414)"
464,Medical Incident,"(37.780057437760696, -122.40867354037178)"
465,Medical Incident,"(37.76208111290616, -122.46832100411719)"
